Command	Type
ellmodulareqn	entity.name.function	ellmodulareqn(N,{x},{y}): given a prime N < 500, return a vector [P, t] where P(x,y) is a modular equation of level N. This requires the package seadata. The equation is either of canonical type (t=0) or of Atkin type (t=1).
ellmul	entity.name.function	ellmul(E,z,n): n times the point z on elliptic curve E (n in Z).
ellneg	entity.name.function	ellneg(E,z): opposite of the point z on elliptic curve E.
ellnonsingularmultiple	entity.name.function	ellnonsingularmultiple(E,P): given E/Q and P in E(Q), returns the pair [R,n] where n is the least positive integer such that R = [n]P has everywhere good reduction. More precisely, its image in a minimal model is everywhere nonsingular.
ellorder	entity.name.function	ellorder(E,z,{o}): order of the point z on the elliptic curve E over a number field or a finite field, 0 if nontorsion. The parameter o, if present, represents a nonzero multiple of the order of z.
ellordinate	entity.name.function	ellordinate(E,x): y-coordinates corresponding to x-ordinate x on elliptic curve E.
ellpadicL	entity.name.function	ellpadicL(E, p, n, {s = 0}, {r = 0}, {D = 1}): returns the value on a character of Z_p^* represented by an integer s or a vector [s1,s2] of the derivative of order r of the p-adic L-function of the elliptic curve E (twisted by D, if present).
ellpadicbsd	entity.name.function	ellpadicbsd(E, p, n, {D = 1}): returns [r,Lp] where r is the (conjectural) analytic rank of the p-adic L-function attached to the quadratic twist E_D and Lp is (conjecturally) equal to the product of the p-adic regulator and the cardinal of the Tate-Shafarevich group.
ellpadicfrobenius	entity.name.function	ellpadicfrobenius(E,p,n): matrix of the Frobenius at p>2 in the standard basis of H^1_dR(E) to absolute p-adic precision p^n.
ellpadicheight	entity.name.function	ellpadicheight(E,p,n, P,{Q}): E elliptic curve/Q, P in E(Q), p prime, n an integer; returns the cyclotomic p-adic heights of P. Resp. the value of the attached bilinear form at (P,Q).
ellpadicheightmatrix	entity.name.function	ellpadicheightmatrix(E,p,n,Q): gives the height-pairing matrix for vector of points Q on elliptic curve E.
ellpadiclambdamu	entity.name.function	ellpadiclambdamu(E, p, {D=1},{i=0}): returns the Iwasawa invariants for the p-adic L-function attached to E, twisted by (D,.) and the i-th power of the Teichmuller character.
ellpadiclog	entity.name.function	ellpadiclog(E,p,n,P): returns the logarithm of P (in the kernel of reduction) to relative p-adic precision p^n.
ellpadicregulator	entity.name.function	ellpadicregulator(E,p,n,S): E elliptic curve/Q, S a vector of points in E(Q), p prime, n an integer; returns the p-adic cyclotomic regulator of the points of S at precision p^n.
ellpadics2	entity.name.function	ellpadics2(E,p,n): returns s2 to absolute p-adic precision p^n.
ellperiods	entity.name.function	ellperiods(w, {flag = 0}): w describes a complex period lattice ([w1,w2] or an ellinit structure). Returns normalized periods [W1,W2] generating the same lattice such that tau := W1/W2 satisfies Im(tau) > 0 and lies in the standard fundamental domain for SL2. If flag is 1, the return value is [[W1,W2], [e1,e2]], where e1, e2 are the quasi-periods attached to [W1,W2], satisfying e2 W1 - e1 W2 = 2 Pi I.
ellpointtoz	entity.name.function	ellpointtoz(E,P): lattice point z corresponding to the point P on the elliptic curve E.
ellpow	entity.name.function	ellpow(E,z,n): deprecated alias for ellmul.
ellrank	entity.name.function	ellrank(E,{effort=0},{points}): if E is an elliptic curve over Q, attempt to compute the Mordell-Weil group attached to the curve. The output is [r,R,s,L] such that the rank is between r and R (both included), s gives informations on the Tate-Shafarevich group, and L is a list of independent, non-torsion rational points on the curve. E can also be given as the output of ellrankinit(E).
ellrankinit	entity.name.function	ellrankinit(E): if E is an elliptic curve over Q, initialize data for further calls to ellrank.
ellratpoints	entity.name.function	ellratpoints(E,h,{flag=0}): E being an rational model of an elliptic curve, return a vector containing the affine rational points on the curve of naive height less than h. If fl=1, stop as soon as a point is found.
ellrootno	entity.name.function	ellrootno(E,{p}): root number for the L-function of the elliptic curve E/Q at a prime p (including 0, for the infinite place); global root number if p is omitted. If p is omitted, the curve can also be defined over a number field.
ellsaturation	entity.name.function	ellsaturation(E, V, B): let E be an elliptic curve over Q and V be a vector of independent rational points on E of infinite order that generate a subgroup G of E(Q) of finite index. Return a new set W of the same length that generate a subgroup H of E(Q) containing G and such that [E(Q):H] is not divisible by any prime number less than B.
ellsea	entity.name.function	ellsea(E,{tors=0}): computes the order of the group E(Fq) for the elliptic curve E, defined over a finite field, using SEA algorithm, with early abort for curves (or their quadratic twist) with nonprime order.
ellsearch	entity.name.function	ellsearch(N): returns all curves in the elldata database matching constraint N: given name (N = "11a1" or [11,0,1]), given isogeny class (N = "11a" or [11,0]), or given conductor (N = 11, "11", or [11]).
ellsigma	entity.name.function	ellsigma(L,{z='x},{flag=0}): computes the value at z of the Weierstrass sigma function attached to the lattice L, as given by ellperiods(,1). If flag = 1, returns an arbitrary determination of the logarithm of sigma.
ellsub	entity.name.function	ellsub(E,z1,z2): difference of the points z1 and z2 on elliptic curve E.
elltamagawa	entity.name.function	elltamagawa(E): E being an elliptic curve over a number field, returns the global Tamagawa number of the curve.
elltaniyama	entity.name.function	elltaniyama(E, {n = seriesprecision}): modular parametrization of elliptic curve E/Q.
elltatepairing	entity.name.function	elltatepairing(E, P, Q, m): computes the Tate pairing of the two points P and Q on the elliptic curve E. The point P must be of m-torsion.
elltors	entity.name.function	elltors(E): torsion subgroup of elliptic curve E: order, structure, generators.
elltrace	entity.name.function	elltrace(E,P): sum of the Galois conjugates of the point P on elliptic curve E.
elltwist	entity.name.function	elltwist(E,{P}): returns an ell structure for the twist of the elliptic curve E by the quadratic extension defined by P (when P is a polynomial of degree 2) or quadpoly(P) (when P is an integer). If E is defined over a finite field, then P can be omitted.
ellweilcurve	entity.name.function	ellweilcurve(E, {&ms}): let E be an elliptic curve over Q given by ellinit or a rational isogeny class given by ellisomat. Return a list of isomorphism classes of elliptic curves isogenous to E as given by ellisomat and the list of the Smith invariants of the lattice associated to E in H^1(E,Q) in the lattice associated to the modular form. If ms is present, it contains the output of msfromell(Emin,0) where Emin is the list of minimal models attached to the curves in the isogeny class.
ellweilpairing	entity.name.function	ellweilpairing(E, P, Q, m): computes the Weil pairing of the two points of m-torsion P and Q on the elliptic curve E.
ellwp	entity.name.function	ellwp(w,{z='x},{flag=0}): computes the value at z of the Weierstrass P function attached to the lattice w, as given by ellperiods. Optional flag means 0 (default), compute only P(z), 1 compute [P(z),P'(z)].
ellxn	entity.name.function	ellxn(E,n,{v='x}): return polynomials [A,B] in the variable v such that x([n]P) = (A/B)(t) for any P = [t,u] on E outside of n-torsion.
ellzeta	entity.name.function	ellzeta(w,{z='x}): computes the value at z of the Weierstrass Zeta function attached to the lattice w, as given by ellperiods(,1).
ellztopoint	entity.name.function	ellztopoint(E,z): inverse of ellpointtoz. Returns the coordinates of point P on the curve E corresponding to a complex or p-adic z.
erfc	entity.name.function	erfc(x): complementary error function.
errname	entity.name.function	errname(E): returns the type of the error message E.
error	keyword.control	error({str}*): abort script with error message str.
eta	entity.name.function	eta(z,{flag=0}): if flag=0, returns prod(n=1,oo, 1-q^n), where q = exp(2 i Pi z) if z is a complex scalar (belonging to the upper half plane); q = z if z is a p-adic number or can be converted to a power series. If flag is nonzero, the function only applies to complex scalars and returns the true eta function, with the factor q^(1/24) included.
eulerfrac	entity.name.function	eulerfrac(n): Euler number E_n, as a rational number.
eulerianpol	entity.name.function	eulerianpol(n, {v = 'x}): Eulerian polynomial A_n, in variable v.
eulerphi	entity.name.function	eulerphi(x): Euler's totient function of x.
eulerpol	entity.name.function	eulerpol(n, {v = 'x}): Euler polynomial E_n, in variable v.
eulerreal	entity.name.function	eulerreal(n): Euler number E_n, as a real number.
eulervec	entity.name.function	eulervec(n): returns a vector containing the nonzero Euler numbers E_0, E_2, ..., E_{2n}.
eval	entity.name.function	eval(x): evaluation of x, replacing variables by their value.
exp	entity.name.function	exp(x): exponential of x.
expm1	entity.name.function	expm1(x): exp(x)-1.
exponent	entity.name.function	exponent(x): binary exponent of x
export	keyword.control	export(x{=...},...,z{=...}): export the variables x,...,z to the parallel world.
exportall	entity.name.function	exportall(): declare all current dynamic variables as exported variables.
extern	entity.name.function	extern(str): execute shell command str, and feeds the result to GP (as if loading from file).
externstr	entity.name.function	externstr(str): execute shell command str, and returns the result as a vector of GP strings, one component per output line.
factor	entity.name.function	factor(x,{D}): factorization of x over domain D. If x and D are both integers, return partial factorization, using primes < D.
factorback	entity.name.function	factorback(f,{e}): given a factorization f, gives the factored object back. If e is present, f has to be a vector of the same length, and we return the product of the f[i]^e[i].
factorcantor	entity.name.function	factorcantor(x,p): this function is obsolete, use factormod.
factorff	entity.name.function	factorff(x,{p},{a}): obsolete, use factormod.
factorial	entity.name.function	factorial(x): factorial of x, the result being given as a real number.
factorint	entity.name.function	factorint(x,{flag=0}): factor the integer x. flag is optional, whose binary digits mean 1: avoid MPQS, 2: avoid first-stage ECM (may fall back on it later), 4: avoid Pollard-Brent Rho and Shanks SQUFOF, 8: skip final ECM (huge composites will be declared prime).
factormod	entity.name.function	factormod(f,{D},{flag=0}): factors the polynomial f over the finite field defined by the domain D; flag is optional, and can be 0: default or 1: only the degrees of the irreducible factors are given.
factormodDDF	entity.name.function	factormodDDF(f,{D}): distinct-degree factorization of the squarefree polynomial f over the finite field defined by the domain D.
factormodSQF	entity.name.function	factormodSQF(f,{D}): squarefree factorization of the polynomial f over the finite field defined by the domain D.
factormodcyclo	entity.name.function	factormodcyclo(n, p, {single=0}, {v='x}): factor n-th cyclotomic polynomial mod p.
factornf	entity.name.function	factornf(x,t): this function is obsolete, use nffactor.
factorpadic	entity.name.function	factorpadic(pol,p,r): p-adic factorization of the polynomial pol to precision r.
ffcompomap	entity.name.function	ffcompomap(f, g): Let k, l, m be three finite fields and f a (partial) map from l to m and g a partial map from k to l, return the (partial) map f o g from k to m.
ffembed	entity.name.function	ffembed(a, b): given two elements a and b in finite fields, return a map embedding the definition field of a to the definition field of b.
ffextend	entity.name.function	ffextend(a, P, {v}): extend the field K of definition of a by a root of the polynomial P, assumed to be irreducible over K. Return [r, m] where r is a root of P in the extension field L and m is a map from K to L, see \kbd{ffmap}. If v is given, the variable name is used to display the generator of L, else the name of the variable of P is used.
fffrobenius	entity.name.function	fffrobenius(m,{n=1}): return the n-th power of the Frobenius map over the field of definition of m.
ffgen	entity.name.function	ffgen(k,{v = 'x}): return a generator of the finite field k (not necessarily a generator of its multiplicative group) as a t_FFELT. k can be given by its order q, the pair [p,f] with q=p^f, by an irreducible polynomial with t_INTMOD coefficients, or by a finite field element. If v is given, the variable name is used to display g, else the variable of the polynomial or finite field element, or x if only the order was given.
ffinit	entity.name.function	ffinit(p,n,{v='x}): monic irreducible polynomial of degree n over F_p[v].
ffinvmap	entity.name.function	ffinvmap(m): given a map m between finite fields, return a partial map that return the pre-images by the map m.
fflog	entity.name.function	fflog(x,g,{o}): return the discrete logarithm of the finite field element x in base g. If present, o must represent the multiplicative order of g. If no o is given, assume that g is a primitive root.
ffmap	entity.name.function	ffmap(m, x): given a (partial) map m between two finite fields, return the image of x by m. The function is applied recursively to the component of vectors, matrices and polynomials. If m is a partial map that is not defined at x, return []
ffmaprel	entity.name.function	ffmaprel(m, x): given a (partial) map m between two finite fields, express x as an algebraic element over the codomain of m in a way which is compatible with m. The function is applied recursively to the component of vectors, matrices and polynomials.
ffnbirred	entity.name.function	ffnbirred(q,n,{fl=0}): number of monic irreducible polynomials over F_q, of degree n (fl=0, default) or at most n (fl=1).
fforder	entity.name.function	fforder(x,{o}): multiplicative order of the finite field element x. Optional o represents a multiple of the order of the element.
ffprimroot	entity.name.function	ffprimroot(x, {&o}): return a primitive root of the multiplicative group of the definition field of the finite field element x (not necessarily the same as the field generated by x). If present, o is set to [ord, fa], where ord is the order of the group, and fa its factorization (useful in fflog and fforder).
fft	entity.name.function	fft(w,P): given w from rootsof1, return the discrete Fourier transform of P.
fftinv	entity.name.function	fftinv(w,P): given w from rootsof1, return the inverse Fourier transform of P.
fibonacci	entity.name.function	fibonacci(x): Fibonacci number of index x.
fileclose	entity.name.function	fileclose(n): close the file descriptor n.
fileextern	entity.name.function	fileextern(str): execute shell command str and returns a file descriptor attached to the command output as if it were read from a file.
fileflush	entity.name.function	fileflush({n}): flush the file descriptor n (all descriptors to output streams if n is omitted).
fileopen	entity.name.function	fileopen(path, mode): open the file pointed to by 'path' and return a file descriptor which can be used with other file functions. The mode is "r" (default, read), "w" (write, truncate), "a" (write, append).
fileread	entity.name.function	fileread(n): read a logical line from the file attached to the descriptor n, opened for reading with fileopen. Return 0 at end of file.
filereadstr	entity.name.function	filereadstr(n): read a raw line from the file attached to the descriptor n, opened for reading with fileopen. Discard the terminating newline. Return 0 at end of file.
filewrite	entity.name.function	filewrite(n, s): write the string s to file attached to descriptor n, ending with a newline. The file must have been opened with fileopen in "w" or "a" mode.
filewrite1	entity.name.function	filewrite1(n, s): write the string s to file number n without ending with newline.
floor	entity.name.function	floor(x): floor of x = largest integer <= x.
fold	entity.name.function	fold(f, A): return f(...f(f(A[1],A[2]),A[3]),...,A[#A]).
for	keyword.control	for(X=a,b,seq): the sequence is evaluated, X going from a up to b. If b is set to +oo, the loop will not stop.
forcomposite	keyword.control	forcomposite(n=a,{b},seq): the sequence is evaluated, n running over the composite numbers between a and b. Omitting b runs through composites >= a.
fordiv	keyword.control	fordiv(n,X,seq): the sequence is evaluated, X running over the divisors of n.
fordivfactored	keyword.control	fordivfactored(n,X,seq): the sequence is evaluated, X running over the [d, factor(d)], d a divisor of n.
foreach	keyword.control	foreach(V,X,seq): the sequence is evaluated, X running over the components of V.
forell	keyword.control	forell(E,a,b,seq,{flag=0}): execute seq for each elliptic curves E of conductor between a and b in the elldata database. If flag is nonzero, select only the first curve in each isogeny class.
forfactored	keyword.control	forfactored(N=a,b,seq): the sequence is evaluated, N is of the form [n, factor(n)], n going from a up to b.
forpart	keyword.control	forpart(X=k,seq,{a=k},{n=k}): evaluate seq where the Vecsmall X goes over the partitions of k. Optional parameter n (n=nmax or n=[nmin,nmax]) restricts the length of the partition. Optional parameter a (a=amax or a=[amin,amax]) restricts the range of the parts. Zeros are removed unless one sets amin=0 to get X of fixed length nmax (=k by default).
forperm	keyword.control	forperm(a,p,seq): the sequence is evaluated, p going through permutations of a.
forprime	keyword.control	forprime(p=a,{b},seq): the sequence is evaluated, p running over the primes between a and b. Omitting b runs through primes >= a.
forprimestep	keyword.control	forprimestep(p=a,b,q,seq): the sequence is evaluated, p running over the primes less than b in the arithmetic progression a + k*q, k >= 0. The parameter q can be a positive integer or an intmod (start at the first prime above a in the progression).
forqfvec	keyword.control	forqfvec(v,q,b,expr): q being a square and symmetric integral matrix representing an positive definite quadratic form, evaluate expr for all pairs of nonzero vectors (-v, v) such that q(v)<=b.
forsquarefree	keyword.control	forsquarefree(N=a,b,seq): the sequence is evaluated, N is of the form [n, factor(n)], n going through squarefree integers from a up to b.
forstep	keyword.control	forstep(X=a,b,s,seq): the sequence is evaluated, X going from a to b in steps of s (can be a positive real number, an intmod for an arithmetic progression, or finally a vector of steps). If b is set to +oo the loop will not stop.
forsubgroup	keyword.control	forsubgroup(H=G,{bound},seq): execute seq for each subgroup H of the abelian group G, whose index is bounded by bound if not omitted. H is given as a left divisor of G in HNF form.
forsubset	keyword.control	forsubset(nk, s, seq): if nk is an integer n, the sequence is evaluated, s going through all subsets of {1, 2, ..., n}; if nk is a pair [n,k] of integers s goes through k-subsets of {1, 2, ..., n}. The order is lexicographic among subsets of the same size and smaller subsets come first.
forvec	keyword.control	forvec(X=v,seq,{flag=0}): v being a vector of two-component vectors of length n, the sequence is evaluated with X[i] going from v[i][1] to v[i][2] for i=n,..,1 if flag is zero or omitted. If flag = 1 (resp. flag = 2), restrict to increasing (resp. strictly increasing) sequences.
frac	entity.name.function	frac(x): fractional part of x = x-floor(x).
fromdigits	entity.name.function	fromdigits(x,{b=10}): gives the integer formed by the elements of x seen as the digits of a number in base b.
galoischardet	entity.name.function	galoischardet(gal, chi, {o=1}): return the determinant character of the character chi.
galoischarpoly	entity.name.function	galoischarpoly(gal, chi, {o=1}): return the list of characteristic polynomials of the representation attached to the character chi.
galoischartable	entity.name.function	galoischartable(gal): return the character table of the underlying group of gal.
galoisconjclasses	entity.name.function	galoisconjclasses(gal): gal being output by galoisinit, return the list of conjugacy classes.
galoisexport	entity.name.function	galoisexport(gal,{flag}): gal being a Galois group as output by galoisinit, output a string representing the underlying permutation group in GAP notation (default) or Magma notation (flag = 1).
galoisfixedfield	entity.name.function	galoisfixedfield(gal,perm,{flag},{v=y}): gal being a Galois group as output by galoisinit and perm a subgroup, an element of gal.group or a vector of such elements, return [P,x] such that P is a polynomial defining the fixed field of gal[1] by the subgroup generated by perm, and x is a root of P in gal expressed as a polmod in gal.pol. If flag is 1 return only P. If flag is 2 return [P,x,F] where F is the factorization of gal.pol over the field defined by P, where the variable v stands for a root of P.
galoisgetgroup	entity.name.function	galoisgetgroup(a,{b}): query the galpol package for a group of order a with index b in the GAP4 Small Group library. If b is omitted, return the number of isomorphism classes of groups of order a.
galoisgetname	entity.name.function	galoisgetname(a,b): query the galpol package for a string describing the group of order a with index b in the GAP4 Small Group library.
galoisgetpol	entity.name.function	galoisgetpol(a,{b},{s}): query the galpol package for a polynomial with Galois group isomorphic to GAP4(a,b), totally real if s=1 (default) and totally complex if s=2. The output is a vector [pol, den] where pol is the polynomial and den is the common denominator of the conjugates expressed as a polynomial in a root of pol. If b and s are omitted, return the number of isomorphism classes of groups of order a.
galoisidentify	entity.name.function	galoisidentify(gal): gal being a Galois group as output by galoisinit, output the isomorphism class of the underlying abstract group as a two-components vector [o,i], where o is the group order, and i is the group index in the GAP4 small group library.
galoisinit	entity.name.function	galoisinit(pol,{den}): pol being a polynomial or a number field as output by nfinit defining a Galois extension of Q, compute the Galois group and all necessary information for computing fixed fields. den is optional and has the same meaning as in nfgaloisconj(,4)(see manual).
galoisisabelian	entity.name.function	galoisisabelian(gal,{flag=0}): gal being as output by galoisinit, return 0 if gal is not abelian, the HNF matrix of gal over gal.gen if flag=0, 1 if flag is 1, and the SNF matrix of gal if flag=2.
galoisisnormal	entity.name.function	galoisisnormal(gal,subgrp): gal being as output by galoisinit, and subgrp a subgroup of gal as output by galoissubgroups, return 1 if subgrp is a normal subgroup of gal, else return 0.
galoispermtopol	entity.name.function	galoispermtopol(gal,perm): gal being a Galois group as output by galoisinit and perm a element of gal.group, return the polynomial defining the corresponding Galois automorphism.
galoissplittinginit	entity.name.function	galoissplittinginit(P,{d}): Galois group over Q of the splitting field of P, that is the smallest field over which P is totally split. P is assumed to be integral, monic and irreducible; it can also be given by a nf structure. If d is given, it must be a multiple of the splitting field degree. The output is compatible with functions expecting a galoisinit structure.
galoissubcyclo	entity.name.function	galoissubcyclo(N,H,{fl=0},{v}): compute a polynomial (in variable v) defining the subfield of Q(zeta_n) fixed by the subgroup H of (Z/nZ)*. N can be an integer n, znstar(n) or bnrinit(bnfinit(y),[n,[1]]). H can be given by a generator, a set of generator given by a vector or a HNF matrix (see manual). If flag is 1, output only the conductor of the abelian extension. If flag is 2 output [pol,f] where pol is the polynomial and f the conductor. If flag is 3 output galoisinit(pol).
galoissubfields	entity.name.function	galoissubfields(G,{flag=0},{v}): output all the subfields of G; flag has the same meaning as for galoisfixedfield.
galoissubgroups	entity.name.function	galoissubgroups(G): output all the subgroups of G.
gamma	entity.name.function	gamma(s): gamma function at s, a complex or p-adic number, or a series.
gammah	entity.name.function	gammah(x): gamma of x+1/2 (x integer).
gammamellininv	entity.name.function	gammamellininv(G,t,{m=0}): returns G(t), where G is as output by gammamellininvinit (its m-th derivative if m is present).
gammamellininvasymp	entity.name.function	gammamellininvasymp(A,n,{m=0}): return the first n terms of the asymptotic expansion at infinity of the m-th derivative K^m(t) of the inverse Mellin transform of the function f(s)=Gamma_R(s+a_1)*...*Gamma_R(s+a_d), where Vga is the vector [a_1,...,a_d] and Gamma_R(s)=Pi^(-s/2)*gamma(s/2). The result is a vector [M[1]...M[n]] with M[1]=1, such that K^m(t) = (an elementary factor) * sum_n M[n+1] / x^n, where x = pi t^(2n/d).
gammamellininvinit	entity.name.function	gammamellininvinit(A,{m=0}): initialize data for the computation by gammamellininv() of the m-th derivative of the inverse Mellin transform of the function f(s) = Gamma_R(s+a1)*...*Gamma_R(s+ad), where A is the vector [a1,...,ad] and Gamma_R(s) = Pi^(-s/2)*gamma(s/2).
gcd	entity.name.function	gcd(x,{y}): greatest common divisor of x and y.
gcdext	entity.name.function	gcdext(x,y): returns [u,v,d] such that d=gcd(x,y) and u*x+v*y=d.
gcharalgebraic	entity.name.function	gcharalgebraic(gc,{type}): returns a matrix whose columns form a basis of the algebraic Grossencharacters in gc. If type is specified as a vector of integer exponents [p,q] for each complex place, return a vector containing an algebraic character of that infinity type (or the empty vector if such a character does not exist).
gcharconductor	entity.name.function	gcharconductor(gc,chi): returns the conductor of chi, as a modulus over gc.bnf.
gcharduallog	entity.name.function	gcharduallog(gc,chi): return logarithm vector of character chi in R^n. We have gchareval(g,chi,x,0) = gcharduallog(g,chi)*gcharlog(g,x)
gchareval	entity.name.function	gchareval(gc,chi,x,{flag=1}): compute the evaluation chi(x) in C* if flag=1 and in C/Z if flag=0.
gcharidentify	entity.name.function	gcharidentify(gc,Lv,Lchiv): returns a Grossencharacter chi belonging to gc that approximately satisfies the constraints that chi_v is Lchiv[i] at the place v=Lv[i].
gcharinit	entity.name.function	gcharinit(bnf,f): given a bnf as output by bnfinit and a modulus f, initializes data related to the group of Grossencharacters of conductor dividing this modulus.
gcharisalgebraic	entity.name.function	gcharisalgebraic(gc,chi,{&type}): returns 1 if chi is an algebraic (type A0) character. If type is present, set it to the infinity type [p,q] of chi.
gcharlocal	keyword.control	gcharlocal(gc,chi,v,{&BID}): if v is a place, return the local character chi_v. If v is a prime dividing the modulus and the optional argument 'BID' is present, set BID to the corresponding idealstar structure.
gcharlog	entity.name.function	gcharlog(gc,x): returns the internal representation (logarithm) of the ideal x suitable for computations in gc, as a column vector.
gcharnewprec	entity.name.function	gcharnewprec(gc): given a Grossencharacter group \kbd{gc}, recompute its invariants to ensure accurate results to current precision.
genus2red	entity.name.function	genus2red(PQ,{p}): let PQ be a polynomial P, resp. a vector [P,Q] of polynomials, with rational coefficients. Determines the reduction at p > 2 of the (proper, smooth) hyperelliptic curve C/Q of genus 2 defined by y^2 = P, resp. y^2 + Q*y = P. More precisely, determines the special fiber X_p of the minimal regular model X of C over Z.
getabstime	entity.name.function	getabstime(): milliseconds of CPU time since startup.
getcache	entity.name.function	getcache(): returns information about various auto-growing caches. For each resource, we report its name, its size, the number of cache misses (since the last extension) and the largest cache miss.
getenv	entity.name.function	getenv(s): value of the environment variable s, 0 if it is not defined.
getheap	entity.name.function	getheap(): 2-component vector giving the current number of objects in the heap and the space they occupy (in long words).
getlocalbitprec	entity.name.function	getlocalbitprec(): returns the current dynamic bit precision.
getlocalprec	entity.name.function	getlocalprec(): returns the current dynamic precision, in decimal digits.
getrand	entity.name.function	getrand(): current value of random number seed.
getstack	entity.name.function	getstack(): current value of stack pointer avma.
gettime	entity.name.function	gettime(): milliseconds of CPU time used since the last call to gettime.
getwalltime	entity.name.function	getwalltime(): time (in milliseconds) since the UNIX Epoch.
global	keyword.control	global(list of variables): obsolete. Scheduled for deletion.
halfgcd	entity.name.function	halfgcd(x,y): return a vector [M, [a,b]~], where M is an invertible 2x2 matrix such that M*[x,y]~ = [a,b]~, where b is small. More precisely, if x,y are integers, we have b < sqrt(max(|x|,|y|)) <= a. If x,y are polynomials, we have deg b < ceil((max(|x|,|y|))/2) <= deg a.
hammingweight	entity.name.function	hammingweight(x): returns the Hamming weight of x.
harmonic	entity.name.function	harmonic(n,{r = 1}): generalized harmonic number of index n in power r.
hgmalpha	entity.name.function	hgmalpha(H): returns the alpha and beta parameters of the hypergeometric motive template H.
hgmbydegree	entity.name.function	hgmbydegree(n): outputs [L(0),...,L(n-1)] where L(w) is the list of cyclotomic parameters of all possible hypergeometric motive templates of degree n and weight w.
hgmcoef	entity.name.function	hgmcoef(H,t,n): (H,t) being a hypergeometric motive, returns the n-th coefficient of its L-function.
hgmcoefs	entity.name.function	hgmcoefs(H,t,n): (H,t) being a hypergeometric motive, returns the first n coefficients of its L-function, where Euler factors at wild primes are set to 1.
hgmcyclo	entity.name.function	hgmcyclo(H): returns the cyclotomic parameters (D,E) of the hypergeometric motive template H.
hgmeulerfactor	entity.name.function	hgmeulerfactor(H, t, p, {&e}): (H,t) being a hypergeometric motive, returns the Euler factor P_p at the prime p; if present, set e to the valuation of the conductor at p.
hgmgamma	entity.name.function	hgmgamma(H): returns the gamma vector of the hypergeometric motive template H.
hgminit	entity.name.function	hgminit(a, {b}): Create the template for a hypergeometric motive with parameters a and possibly b. The format of the parameters may be alpha: Galois invariant lists of rational numbers a=alpha and b=beta; or cyclo: lists A and B of positive integers corresponding to alpha and beta; or gamma: list of cn such that the hypergeometric quotient is prod_n(x^n-1)^cn.
hgmissymmetrical	entity.name.function	hgmissymmetrical(H): is the hypergeometric motive template H symmetrical at t=1?
hgmparams	entity.name.function	hgmparams(H): H being a hypergeometric motive template, returns [d, w, [P, T], M], where d is the degree, w the weight, P the Hodge polynomial and T the Tate twist number (so that the Hodge function itself is P/x^T); finally M is the so-called M-value.
hgmtwist	entity.name.function	hgmtwist(H): twist by 1/2 of alpha and beta of the hypergeometric motive template H.
hilbert	entity.name.function	hilbert(x,y,{p}): Hilbert symbol at p of x,y.
hyperellchangecurve	entity.name.function	hyperellchangecurve(C, m): C being a nonsingular hyperelliptic model of a curve, apply the change of coordinate given by m. C can be given either by a squarefree polynomial P such that C:y^2=P(x) or by a vector [P,Q] such that C:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperellcharpoly	entity.name.function	hyperellcharpoly(X): X being a nonsingular hyperelliptic curve defined over a finite field, return the characteristic polynomial of the Frobenius automorphism. X can be given either by a squarefree polynomial P such that X:y^2=P(x) or by a vector [P,Q] such that X:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperelldisc	entity.name.function	hyperelldisc(X): X being a nonsingular hyperelliptic model of a curve, return its discriminant. X can be given either by a squarefree polynomial P such that X:y^2=P(x) or by a vector [P,Q] such that X:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperellisoncurve	entity.name.function	hyperellisoncurve(X, p): X being a nonsingular hyperelliptic model of a curve, test whether the point p is on the curve. X can be given either by a squarefree polynomial P such that X:y^2=P(x) or by a vector [P,Q] such that X:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperellminimaldisc	entity.name.function	hyperellminimaldisc(C,{pr}): C being a nonsingular integral hyperelliptic model of a curve, return the minimal discrminant of an integral model of C. If pr is given, it must be a list of primes and the discriminant is then only garanteed minimal at the elements of pr. C can be given either by a squarefree polynomial P such that C:y^2=P(x) or by a vector [P,Q] such that C:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperellminimalmodel	entity.name.function	hyperellminimalmodel(C,{&m},{pr}): C being a nonsingular integral hyperelliptic model of a curve, return an integral model of C with minimal discriminant. If pr is given, it must be a list of primes and the model is then only garanteed minimal at the elements of pr. C can be given either by a squarefree polynomial P such that C:y^2=P(x) or by a vector [P,Q] such that C:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hyperellpadicfrobenius	entity.name.function	hyperellpadicfrobenius(Q,q,n): Q being a rational polynomial of degree d and X being the curve defined by y^2=Q(x), return the matrix of the Frobenius at the prime q >= d in the standard basis of H^1_dR(X) to absolute q-adic precision q^n; q may also be of the form [T,p] where T is an integral polynomial which is irreducible mod p.
